Year,Experiment,nEDM,Lab,Reference
1950,Neutron scattering,3.00E-18,ANL,-
1957,Cold neutron beam,4.00E-20,ORNL,-
1967,Bragg Reflection,8.00E-22,MIT/BNL,-
1967,Cold neutron beam,7.00E-22,ORNL,-
1968,Cold neutron beam,3.00E-22,ORNL,-
1969,Cold neutron beam,5.00E-23,ORNL,-
1969,Cold neutron beam,1.00E-21,BNL,-
1973,Cold neutron beam,1.00E-23,ORNL,-
1977,Cold neutron beam,3.00E-24,ILL,-
1980,UCN,1.60E-24,PNPI,-
1981,UCN,6.00E-25,PNPI,-
1984,UCN,8.00E-25,ILL,-
1986,UCN,2.60E-25,PNPI,-
1990,UCN,1.20E-25,ILL,-
1992,UCN,9.70E-26,PNPI,-
1999,UCN,6.30E-26,ILL,*1999年まではSNS EDM proposal (2002) Table III-Aを参照した
2006,UCN,2.90E-26,ILL,"Phys. Rev. Lett. 97, 131801 (2006)"
2015,UCN,5.50E-26,PNPI,"Phys. Rev. D 92, 092003 (2015)"
2015,UCN,3.00E-26,ILL,"Phys. Rev. C 92, 055501 (2015)"
2020,UCN,1.80E-26,PSI,"Phys. Rev. Lett. 124, 081803 (2020)"
